MACH, ALPHA, CL
0.5,0.00,0.000
0.5,0.10,0.024
0.5,0.20,0.049
0.5,0.31,0.076
0.5,0.41,0.101
0.5,0.51,0.125
0.5,0.61,0.150
0.5,0.71,0.176
0.5,0.82,0.203
0.5,0.92,0.229
0.5,1.02,0.255
0.5,1.12,0.281
0.5,1.22,0.307
0.5,1.33,0.336
0.5,1.43,0.362
0.5,1.53,0.389
0.5,1.63,0.416
0.5,1.73,0.444
0.5,1.84,0.474
0.5,1.94,0.502
0.5,2.04,0.530
0.5,2.14,0.558
0.5,2.24,0.587
0.5,2.35,0.618
0.5,2.45,0.647
0.5,2.55,0.676
0.5,2.65,0.706
0.5,2.75,0.735
0.5,2.86,0.768
0.5,2.96,0.798
0.5,3.06,0.828
0.5,3.16,0.858
0.5,3.27,0.892
0.5,3.37,0.923
0.5,3.47,0.953
0.5,3.57,0.985
0.5,3.67,1.016
0.5,3.77,1.047
0.5,3.88,1.082
0.5,3.98,1.113
0.5,4.08,1.139
0.5,4.18,1.169
0.5,4.29,1.203
0.5,4.39,1.234
0.5,4.49,1.265
0.5,4.59,1.297
0.5,4.69,1.328
0.5,4.79,1.360
0.5,4.90,1.395
0.5,5.00,1.427
----------
1.0,0.00,0.000
1.0,0.10,0.030
1.0,0.20,0.060
1.0,0.31,0.093
1.0,0.41,0.124
1.0,0.51,0.154
1.0,0.61,0.185
1.0,0.71,0.216
1.0,0.82,0.250
1.0,0.92,0.281
1.0,1.02,0.312
1.0,1.12,0.344
1.0,1.22,0.375
1.0,1.33,0.410
1.0,1.43,0.442
1.0,1.53,0.475
1.0,1.63,0.507
1.0,1.73,0.540
1.0,1.84,0.577
1.0,1.94,0.610
1.0,2.04,0.643
1.0,2.14,0.677
1.0,2.24,0.711
1.0,2.35,0.748
1.0,2.45,0.783
1.0,2.55,0.817
1.0,2.65,0.852
1.0,2.75,0.886
1.0,2.86,0.925
1.0,2.96,0.960
1.0,3.06,0.995
1.0,3.16,1.031
1.0,3.27,1.070
1.0,3.37,1.106
1.0,3.47,1.142
1.0,3.57,1.178
1.0,3.67,1.214
1.0,3.77,1.251
1.0,3.88,1.291
1.0,3.98,1.328
1.0,4.08,1.357
1.0,4.18,1.392
1.0,4.29,1.431
1.0,4.39,1.467
1.0,4.49,1.503
1.0,4.59,1.539
1.0,4.69,1.575
1.0,4.79,1.612
1.0,4.90,1.652
1.0,5.00,1.688
----------
1.5,0.00,0.000
1.5,0.10,0.023
1.5,0.20,0.047
1.5,0.31,0.073
1.5,0.41,0.096
1.5,0.51,0.120
1.5,0.61,0.144
1.5,0.71,0.168
1.5,0.82,0.195
1.5,0.92,0.219
1.5,1.02,0.244
1.5,1.12,0.269
1.5,1.22,0.294
1.5,1.33,0.321
1.5,1.43,0.346
1.5,1.53,0.372
1.5,1.63,0.397
1.5,1.73,0.423
1.5,1.84,0.451
1.5,1.94,0.477
1.5,2.04,0.504
1.5,2.14,0.530
1.5,2.24,0.557
1.5,2.35,0.586
1.5,2.45,0.613
1.5,2.55,0.640
1.5,2.65,0.667
1.5,2.75,0.694
1.5,2.86,0.724
1.5,2.96,0.752
1.5,3.06,0.779
1.5,3.16,0.807
1.5,3.27,0.838
1.5,3.37,0.866
1.5,3.47,0.894
1.5,3.57,0.922
1.5,3.67,0.951
1.5,3.77,0.979
1.5,3.88,1.011
1.5,3.98,1.039
1.5,4.08,1.062
1.5,4.18,1.090
1.5,4.29,1.120
1.5,4.39,1.148
1.5,4.49,1.176
1.5,4.59,1.205
1.5,4.69,1.233
1.5,4.79,1.262
1.5,4.90,1.293
1.5,5.00,1.322
----------
2.0,0.00,0.000
2.0,0.10,0.021
2.0,0.20,0.041
2.0,0.31,0.064
2.0,0.41,0.085
2.0,0.51,0.106
2.0,0.61,0.127
2.0,0.71,0.149
2.0,0.82,0.172
2.0,0.92,0.194
2.0,1.02,0.216
2.0,1.12,0.238
2.0,1.22,0.260
2.0,1.33,0.284
2.0,1.43,0.307
2.0,1.53,0.329
2.0,1.63,0.352
2.0,1.73,0.375
2.0,1.84,0.400
2.0,1.94,0.423
2.0,2.04,0.447
2.0,2.14,0.470
2.0,2.24,0.494
2.0,2.35,0.520
2.0,2.45,0.544
2.0,2.55,0.569
2.0,2.65,0.593
2.0,2.75,0.617
2.0,2.86,0.644
2.0,2.96,0.669
2.0,3.06,0.694
2.0,3.16,0.719
2.0,3.27,0.746
2.0,3.37,0.772
2.0,3.47,0.797
2.0,3.57,0.823
2.0,3.67,0.848
2.0,3.77,0.874
2.0,3.88,0.902
2.0,3.98,0.929
2.0,4.08,0.949
2.0,4.18,0.974
2.0,4.29,1.002
2.0,4.39,1.028
2.0,4.49,1.053
2.0,4.59,1.079
2.0,4.69,1.105
2.0,4.79,1.131
2.0,4.90,1.160
2.0,5.00,1.186
