MACH, ALPHA, CL
1.2,0.00,0.000
1.2,0.10,0.034
1.2,0.20,0.068
1.2,0.31,0.106
1.2,0.41,0.140
1.2,0.51,0.174
1.2,0.61,0.209
1.2,0.71,0.244
1.2,0.82,0.282
1.2,0.92,0.317
1.2,1.02,0.352
1.2,1.12,0.388
1.2,1.22,0.424
1.2,1.33,0.463
1.2,1.43,0.499
1.2,1.53,0.535
1.2,1.63,0.572
1.2,1.73,0.609
1.2,1.84,0.649
1.2,1.94,0.687
1.2,2.04,0.724
1.2,2.14,0.761
1.2,2.24,0.799
1.2,2.35,0.841
1.2,2.45,0.879
1.2,2.55,0.918
1.2,2.65,0.956
1.2,2.75,0.995
1.2,2.86,1.037
1.2,2.96,1.076
1.2,3.06,1.116
1.2,3.16,1.155
1.2,3.27,1.198
1.2,3.37,1.238
1.2,3.47,1.278
1.2,3.57,1.318
1.2,3.67,1.358
1.2,3.77,1.398
1.2,3.88,1.443
1.2,3.98,1.483
1.2,4.08,1.515
1.2,4.18,1.553
1.2,4.29,1.597
1.2,4.39,1.636
1.2,4.49,1.675
1.2,4.59,1.715
1.2,4.69,1.755
1.2,4.79,1.795
1.2,4.90,1.839
1.2,5.00,1.879
----------
1.7,0.00,0.000
1.7,0.10,0.022
1.7,0.20,0.044
1.7,0.31,0.068
1.7,0.41,0.090
1.7,0.51,0.112
1.7,0.61,0.134
1.7,0.71,0.157
1.7,0.82,0.182
1.7,0.92,0.205
1.7,1.02,0.228
1.7,1.12,0.251
1.7,1.22,0.274
1.7,1.33,0.300
1.7,1.43,0.323
1.7,1.53,0.347
1.7,1.63,0.371
1.7,1.73,0.395
1.7,1.84,0.421
1.7,1.94,0.446
1.7,2.04,0.470
1.7,2.14,0.495
1.7,2.24,0.520
1.7,2.35,0.548
1.7,2.45,0.573
1.7,2.55,0.598
1.7,2.65,0.623
1.7,2.75,0.649
1.7,2.86,0.677
1.7,2.96,0.703
1.7,3.06,0.729
1.7,3.16,0.755
1.7,3.27,0.784
1.7,3.37,0.810
1.7,3.47,0.837
1.7,3.57,0.863
1.7,3.67,0.890
1.7,3.77,0.917
1.7,3.88,0.947
1.7,3.98,0.974
1.7,4.08,0.995
1.7,4.18,1.021
1.7,4.29,1.050
1.7,4.39,1.076
1.7,4.49,1.103
1.7,4.59,1.130
1.7,4.69,1.156
1.7,4.79,1.183
1.7,4.90,1.213
1.7,5.00,1.240
----------
2.2,0.00,0.000
2.2,0.10,0.019
2.2,0.20,0.039
2.2,0.31,0.060
2.2,0.41,0.080
2.2,0.51,0.100
2.2,0.61,0.120
2.2,0.71,0.140
2.2,0.82,0.163
2.2,0.92,0.183
2.2,1.02,0.203
2.2,1.12,0.224
2.2,1.22,0.245
2.2,1.33,0.268
2.2,1.43,0.289
2.2,1.53,0.311
2.2,1.63,0.332
2.2,1.73,0.354
2.2,1.84,0.378
2.2,1.94,0.400
2.2,2.04,0.422
2.2,2.14,0.445
2.2,2.24,0.467
2.2,2.35,0.492
2.2,2.45,0.515
2.2,2.55,0.538
2.2,2.65,0.561
2.2,2.75,0.584
2.2,2.86,0.610
2.2,2.96,0.633
2.2,3.06,0.657
2.2,3.16,0.681
2.2,3.27,0.707
2.2,3.37,0.731
2.2,3.47,0.755
2.2,3.57,0.780
2.2,3.67,0.804
2.2,3.77,0.829
2.2,3.88,0.856
2.2,3.98,0.881
2.2,4.08,0.901
2.2,4.18,0.924
2.2,4.29,0.951
2.2,4.39,0.975
2.2,4.49,1.000
2.2,4.59,1.025
2.2,4.69,1.049
2.2,4.79,1.074
2.2,4.90,1.102
2.2,5.00,1.127
----------
2.7,0.00,0.000
2.7,0.10,0.017
2.7,0.20,0.034
2.7,0.31,0.053
2.7,0.41,0.070
2.7,0.51,0.087
2.7,0.61,0.105
2.7,0.71,0.122
2.7,0.82,0.142
2.7,0.92,0.159
2.7,1.02,0.177
2.7,1.12,0.195
2.7,1.22,0.213
2.7,1.33,0.233
2.7,1.43,0.252
2.7,1.53,0.270
2.7,1.63,0.289
2.7,1.73,0.307
2.7,1.84,0.328
2.7,1.94,0.347
2.7,2.04,0.366
2.7,2.14,0.385
2.7,2.24,0.404
2.7,2.35,0.426
2.7,2.45,0.445
2.7,2.55,0.465
2.7,2.65,0.485
2.7,2.75,0.504
2.7,2.86,0.526
2.7,2.96,0.547
2.7,3.06,0.567
2.7,3.16,0.587
2.7,3.27,0.610
2.7,3.37,0.631
2.7,3.47,0.651
2.7,3.57,0.672
2.7,3.67,0.694
2.7,3.77,0.715
2.7,3.88,0.738
2.7,3.98,0.760
2.7,4.08,0.778
2.7,4.18,0.799
2.7,4.29,0.823
2.7,4.39,0.845
2.7,4.49,0.867
2.7,4.59,0.889
2.7,4.69,0.912
2.7,4.79,0.935
2.7,4.90,0.960
2.7,5.00,0.984
