MACH, ALPHA, CL
0.0,0.50,0.116
0.0,1.00,0.235
0.0,1.50,0.359
0.0,2.00,0.489
0.0,2.50,0.625
0.0,3.00,0.766
0.0,3.50,0.912
0.0,4.00,1.062
0.0,4.50,1.203
0.0,5.00,1.354
0.0,5.50,1.508
0.0,6.00,1.665
0.0,6.50,1.823
0.0,7.00,1.985
0.0,8.00,2.322
0.0,9.00,2.666
0.0,10.00,3.005
0.0,13.00,4.008
0.0,15.00,4.651
0.0,20.00,6.173
----------
0.1,0.50,0.117
0.1,1.00,0.239
0.1,1.50,0.365
0.1,2.00,0.497
0.1,2.50,0.635
0.1,3.00,0.778
0.1,3.50,0.925
0.1,4.00,1.077
0.1,4.50,1.220
0.1,5.00,1.373
0.1,5.50,1.529
0.1,6.00,1.688
0.1,6.50,1.849
0.1,7.00,2.012
0.1,8.00,2.353
0.1,9.00,2.701
0.1,10.00,3.043
0.1,13.00,4.053
0.1,15.00,4.699
0.1,20.00,6.223
----------
0.2,0.50,0.118
0.2,1.00,0.240
0.2,1.50,0.367
0.2,2.00,0.500
0.2,2.50,0.639
0.2,3.00,0.783
0.2,3.50,0.931
0.2,4.00,1.084
0.2,4.50,1.228
0.2,5.00,1.382
0.2,5.50,1.539
0.2,6.00,1.699
0.2,6.50,1.861
0.2,7.00,2.026
0.2,8.00,2.369
0.2,9.00,2.720
0.2,10.00,3.065
0.2,13.00,4.078
0.2,15.00,4.728
0.2,20.00,6.265
----------
0.3,0.50,0.119
0.3,1.00,0.242
0.3,1.50,0.370
0.3,2.00,0.504
0.3,2.50,0.644
0.3,3.00,0.788
0.3,3.50,0.938
0.3,4.00,1.092
0.3,4.50,1.237
0.3,5.00,1.393
0.3,5.50,1.551
0.3,6.00,1.712
0.3,6.50,1.875
0.3,7.00,2.042
0.3,8.00,2.388
0.3,9.00,2.741
0.3,10.00,3.090
0.3,13.00,4.105
0.3,15.00,4.756
0.3,20.00,6.300
----------
0.4,0.50,0.121
0.4,1.00,0.246
0.4,1.50,0.375
0.4,2.00,0.511
0.4,2.50,0.653
0.4,3.00,0.799
0.4,3.50,0.950
0.4,4.00,1.106
0.4,4.50,1.253
0.4,5.00,1.410
0.4,5.50,1.569
0.4,6.00,1.732
0.4,6.50,1.897
0.4,7.00,2.065
0.4,8.00,2.414
0.4,9.00,2.770
0.4,10.00,3.123
0.4,13.00,4.139
0.4,15.00,4.788
0.4,20.00,6.330
----------
0.5,0.50,0.123
0.5,1.00,0.249
0.5,1.50,0.381
0.5,2.00,0.519
0.5,2.50,0.662
0.5,3.00,0.810
0.5,3.50,0.963
0.5,4.00,1.120
0.5,4.50,1.268
0.5,5.00,1.427
0.5,5.50,1.588
0.5,6.00,1.752
0.5,6.50,1.918
0.5,7.00,2.087
0.5,8.00,2.440
0.5,9.00,2.799
0.5,10.00,3.154
0.5,13.00,4.167
0.5,15.00,4.813
0.5,20.00,6.339
----------
0.6,0.50,0.125
0.6,1.00,0.254
0.6,1.50,0.387
0.6,2.00,0.527
0.6,2.50,0.672
0.6,3.00,0.822
0.6,3.50,0.976
0.6,4.00,1.135
0.6,4.50,1.285
0.6,5.00,1.445
0.6,5.50,1.608
0.6,6.00,1.773
0.6,6.50,1.941
0.6,7.00,2.111
0.6,8.00,2.467
0.6,9.00,2.830
0.6,10.00,3.185
0.6,13.00,4.186
0.6,15.00,4.823
0.6,20.00,6.315
----------
0.7,0.50,0.130
0.7,1.00,0.264
0.7,1.50,0.403
0.7,2.00,0.548
0.7,2.50,0.698
0.7,3.00,0.854
0.7,3.50,1.013
0.7,4.00,1.178
0.7,4.50,1.332
0.7,5.00,1.497
0.7,5.50,1.665
0.7,6.00,1.835
0.7,6.50,2.007
