MACH, ALPHA, CL
0.5,0.00,0.000
0.5,0.10,0.024
0.5,0.20,0.049
0.5,0.31,0.076
0.5,0.41,0.101
0.5,0.51,0.125
0.5,0.61,0.150
0.5,0.71,0.176
0.5,0.82,0.203
0.5,0.92,0.229
0.5,1.02,0.255
0.5,1.12,0.281
0.5,1.22,0.307
0.5,1.33,0.336
0.5,1.43,0.362
0.5,1.53,0.389
0.5,1.63,0.416
0.5,1.73,0.444
0.5,1.84,0.474
0.5,1.94,0.502
0.5,2.04,0.530
0.5,2.14,0.558
0.5,2.24,0.587
0.5,2.35,0.618
0.5,2.45,0.647
0.5,2.55,0.676
0.5,2.65,0.706
0.5,2.75,0.735
0.5,2.86,0.768
0.5,2.96,0.798
0.5,3.06,0.828
0.5,3.16,0.858
0.5,3.27,0.892
0.5,3.37,0.923
0.5,3.47,0.953
0.5,3.57,0.985
0.5,3.67,1.016
0.5,3.77,1.047
0.5,3.88,1.082
0.5,3.98,1.113
0.5,4.08,1.139
0.5,4.18,1.169
0.5,4.29,1.203
0.5,4.39,1.234
0.5,4.49,1.265
0.5,4.59,1.297
0.5,4.69,1.328
0.5,4.79,1.360
0.5,4.90,1.395
0.5,5.00,1.427
----------
1.7,0.00,0.000
1.7,0.10,0.022
1.7,0.20,0.044
1.7,0.31,0.068
1.7,0.41,0.090
1.7,0.51,0.112
1.7,0.61,0.134
1.7,0.71,0.157
1.7,0.82,0.182
1.7,0.92,0.205
1.7,1.02,0.228
1.7,1.12,0.251
1.7,1.22,0.274
1.7,1.33,0.300
1.7,1.43,0.323
1.7,1.53,0.347
1.7,1.63,0.371
1.7,1.73,0.395
1.7,1.84,0.421
1.7,1.94,0.446
1.7,2.04,0.470
1.7,2.14,0.495
1.7,2.24,0.520
1.7,2.35,0.548
1.7,2.45,0.573
1.7,2.55,0.598
1.7,2.65,0.623
1.7,2.75,0.649
1.7,2.86,0.677
1.7,2.96,0.703
1.7,3.06,0.729
1.7,3.16,0.755
1.7,3.27,0.784
1.7,3.37,0.810
1.7,3.47,0.837
1.7,3.57,0.863
1.7,3.67,0.890
1.7,3.77,0.917
1.7,3.88,0.947
1.7,3.98,0.974
1.7,4.08,0.995
1.7,4.18,1.021
1.7,4.29,1.050
1.7,4.39,1.076
1.7,4.49,1.103
1.7,4.59,1.130
1.7,4.69,1.156
1.7,4.79,1.183
1.7,4.90,1.213
1.7,5.00,1.240
