"motor:","AeroTech M2000R"
"contributor:","John Coker"
"details:","https://www.thrustcurve.org/simfiles/5f4294d20002e90000000091/"

"Time (s)","Thrust (N)"
0.091,1530.959
0.279,2186.27
0.466,2166.698
0.655,2187.237
0.844,2219.069
1.031,2248.071
1.22,2273.743
1.409,2298.306
1.596,2309.753
1.785,2315.708
1.974,2316.158
2.161,2306.313
2.35,2282.23
2.539,2252.104
2.726,2209.638
2.915,2168.8
3.104,2117.175
3.291,2067.533
3.48,2004.508
3.669,1934.442
3.856,1831.48
4.045,1745.634
4.234,1504.269
4.421,649.796
4.61,58.178
4.799,0
